Ref_Date,GEO,COMM,Vector,Coordinate,Value
1945/03,Canada,Total index,v1811533,1.1,17.2
1945/04,Canada,Total index,v1811533,1.1,17.5
1945/05,Canada,Total index,v1811533,1.1,17.5
1945/06,Canada,Total index,v1811533,1.1,17.7
1945/07,Canada,Total index,v1811533,1.1,17.7
1945/08,Canada,Total index,v1811533,1.1,19.5
1945/09,Canada,Total index,v1811533,1.1,19.2
1945/10,Canada,Total index,v1811533,1.1,19.2
1945/11,Canada,Total index,v1811533,1.1,19.2
1945/12,Canada,Total index,v1811533,1.1,19.5
1946/01,Canada,Total index,v1811533,1.1,19.5
1946/02,Canada,Total index,v1811533,1.1,19.7
1946/03,Canada,Total index,v1811533,1.1,19.7
1946/04,Canada,Total index,v1811533,1.1,19.7
1946/05,Canada,Total index,v1811533,1.1,20.0
1946/06,Canada,Total index,v1811533,1.1,20.2
1946/07,Canada,Total index,v1811533,1.1,20.5
1946/08,Canada,Total index,v1811533,1.1,20.5
1946/09,Canada,Total index,v1811533,1.1,20.0
1946/10,Canada,Total index,v1811533,1.1,20.0
1946/11,Canada,Total index,v1811533,1.1,20.0
1946/12,Canada,Total index,v1811533,1.1,20.2
1947/01,Canada,Total index,v1811533,1.1,20.2
1947/02,Canada,Total index,v1811533,1.1,20.2
1947/03,Canada,Total index,v1811533,1.1,20.5
1947/04,Canada,Total index,v1811533,1.1,20.5
1947/05,Canada,Total index,v1811533,1.1,20.7
1947/06,Canada,Total index,v1811533,1.1,21.0
1947/07,Canada,Total index,v1811533,1.1,21.0
1947/08,Canada,Total index,v1811533,1.1,21.5
1947/09,Canada,Total index,v1811533,1.1,21.8
1947/10,Canada,Total index,v1811533,1.1,21.8
1947/11,Canada,Total index,v1811533,1.1,22.0
1947/12,Canada,Total index,v1811533,1.1,22.5
1948/01,Canada,Total index,v1811533,1.1,23.8
1948/02,Canada,Total index,v1811533,1.1,23.8
1948/03,Canada,Total index,v1811533,1.1,23.8
1948/04,Canada,Total index,v1811533,1.1,24.0
1948/05,Canada,Total index,v1811533,1.1,24.5
1948/06,Canada,Total index,v1811533,1.1,25.6
1948/07,Canada,Total index,v1811533,1.1,25.8
1948/08,Canada,Total index,v1811533,1.1,26.3
1948/09,Canada,Total index,v1811533,1.1,26.1
1948/10,Canada,Total index,v1811533,1.1,25.8
1948/11,Canada,Total index,v1811533,1.1,25.6
1948/12,Canada,Total index,v1811533,1.1,25.8
1949/01,Canada,Total index,v1811533,1.1,25.6
1949/02,Canada,Total index,v1811533,1.1,25.0
1949/03,Canada,Total index,v1811533,1.1,25.0
1949/04,Canada,Total index,v1811533,1.1,25.0
1949/05,Canada,Total index,v1811533,1.1,25.0
1949/06,Canada,Total index,v1811533,1.1,25.3
1949/07,Canada,Total index,v1811533,1.1,25.3
1949/08,Canada,Total index,v1811533,1.1,25.6
1949/09,Canada,Total index,v1811533,1.1,25.0
1949/10,Canada,Total index,v1811533,1.1,24.8
1949/11,Canada,Total index,v1811533,1.1,24.5
1949/12,Canada,Total index,v1811533,1.1,24.8
1950/01,Canada,Total index,v1811533,1.1,24.0
1950/02,Canada,Total index,v1811533,1.1,24.5
1950/03,Canada,Total index,v1811533,1.1,24.8
1950/04,Canada,Total index,v1811533,1.1,25.0
1950/05,Canada,Total index,v1811533,1.1,25.0
1950/06,Canada,Total index,v1811533,1.1,25.8
1950/07,Canada,Total index,v1811533,1.1,26.3
1950/08,Canada,Total index,v1811533,1.1,26.8
1950/09,Canada,Total index,v1811533,1.1,26.3
